country,region
United States,Northern America
Egypt,North Africa
Morocco,North Africa
Lebanon,Middle East
Saudi Arabia,Middle East
Jordan,Middle East
Turkey,Middle East
Pakistan,South Asia
Indonesia,Southeast Asia
Bangladesh,South Asia
United Kingdom,Northern Europe
France,Western Europe
Germany,Western Europe
Netherlands,Western Europe
Belgium,Western Europe
Spain,Southern Europe
Italy,Southern Europe
Poland,Eastern Europe
Hungary,Eastern Europe
Czech Republic,Eastern Europe
Romania,Eastern Europe
Sweden,Northern Europe
Greece,Southern Europe
Denmark,Northern Europe
Iran,Middle East
Singapore,Southeast Asia
Japan,East Asia
China,East Asia
India,South Asia
Venezuela,South America
Brazil,South America
Mexico,Central America and Mexico
Nigeria,Western Africa
Kenya,Eastern Africa
Tanzania,Eastern Africa
Israel,Middle East
Palestine,Middle East
Ghana,Western Africa
Uganda,Eastern Africa
Benin,Western Africa
Madagascar,Eastern Africa
Malawi,Eastern Africa
South Africa,Southern Africa
Canada,Northern America
Australia,Aus/NZ
Philippines,Southeast Asia
Sri Lanka,South Asia
Vietnam,Southeast Asia
Thailand,Southeast Asia
Cambodia,Southeast Asia
Laos,Southeast Asia
Myanmar,Southeast Asia
New Zealand,Aus/NZ
Botswana,Southern Africa
Ethiopia,Eastern Africa
Mali,Western Africa
Mauritania,Western Africa
Mozambique,Eastern Africa
Niger,Western Africa
Rwanda,Eastern Africa
Senegal,Western Africa
Zambia,Eastern Africa
South Korea,East Asia
Taiwan,East Asia
Afghanistan,South Asia
Belarus,Eastern Europe
Georgia,Central Asia
Kazakhstan,Central Asia
Kyrgyzstan,Central Asia
Moldova,Eastern Europe
Russia,Eastern Europe
Ukraine,Eastern Europe
Burkina Faso,Western Africa
Cameroon,Central Africa
Sierra Leone,Western Africa
Zimbabwe,Eastern Africa
Costa Rica,Central America and Mexico
Albania,Southern Europe
Algeria,North Africa
Argentina,South America
Armenia,Central Asia
Austria,Western Europe
Azerbaijan,Central Asia
Bolivia,South America
Bosnia and Herzegovina,Southern Europe
Bulgaria,Eastern Europe
Burundi,Eastern Africa
Chad,Central Africa
Chile,South America
Colombia,South America
Comoros,Eastern Africa
"Congo, Rep.",Central Africa
Croatia,Southern Europe
Cyprus,Southern Europe
Dominican Republic,Central America and Mexico
Ecuador,South America
El Salvador,Central America and Mexico
Estonia,Northern Europe
Finland,Northern Europe
Gabon,Central Africa
Guatemala,Central America and Mexico
Guinea,Western Africa
Haiti,Central America and Mexico
Honduras,Central America and Mexico
Iceland,Northern Europe
Iraq,Middle East
Ireland,Northern Europe
Ivory Coast,Western Africa
Kuwait,Middle East
Latvia,Northern Europe
Liberia,Western Africa
Libya,North Africa
Lithuania,Northern Europe
Luxembourg,Western Europe
Macedonia,Southern Europe
Malaysia,Southeast Asia
Malta,Southern Europe
Mauritius,Eastern Africa
Mongolia,East Asia
Montenegro,Southern Europe
Namibia,Southern Africa
Nepal,South Asia
Nicaragua,Central America and Mexico
Norway,Northern Europe
Panama,Central America and Mexico
Paraguay,South America
Peru,South America
Portugal,Southern Europe
Serbia,Southern Europe
Slovakia,Eastern Europe
Slovenia,Southern Europe
Eswatini,Southern Africa
Switzerland,Western Europe
Tajikistan,Central Asia
The Gambia,Western Africa
Togo,Western Africa
Tunisia,North Africa
Turkmenistan,Central Asia
United Arab Emirates,Middle East
Uruguay,South America
Uzbekistan,Central Asia
Yemen,Middle East
Kosovo,Not assigned
Northern Cyprus,Not assigned
